x	xmin	xmax	y	ymin	ymax	clickSelects	showSelected1	key	group
1	0.5	1.5	0.0489457093649458	0	0.249895133388114	1	1	1	-1
2	1.5	2.5	0.0011682424795476	0	0.208702559069841	2	2	2	-1
3	2.5	3.5	-0.0619928765594531	0	0.249973889774756	3	3	3	-1
4	3.5	4.5	0.00721107027891794	0	0.0113318835159454	4	4	4	-1
5	4.5	5.5	-0.0126920743825723	0	0.166806062295171	5	5	5	-1
6	5.5	6.5	-0.100254312521885	0	0.215980831024045	6	6	6	-1
7	6.5	7.5	-0.0352243591284987	0	0.0739450481721657	7	7	7	-1
8	7.5	8.5	-0.0775272265401083	0	0.249686275478151	8	8	8	-1
9	8.5	9.5	-0.0817176559277928	0	0.209154617132604	9	9	9	-1
10	9.5	10.5	-0.0665209333257682	0	0.200465951193265	10	10	10	-1
11	10.5	11.5	0.0027544327618062	0	0.227056702922126	11	11	11	-1
12	11.5	12.5	-0.0795349146636735	0	0.226225179844296	12	12	12	-1
13	12.5	13.5	-0.0754630308342488	0	0.193309389543967	13	13	13	-1
14	13.5	14.5	0.0108556920869197	0	0.202679713582654	14	14	14	-1
15	14.5	15.5	-0.0815289558691864	0	0.20945785918577	15	15	15	-1
16	15.5	16.5	-0.0242861738302271	0	0.163616984432647	16	16	16	-1
17	16.5	17.5	-0.0643708255088904	0	0.2497134849979	17	17	17	-1
18	17.5	18.5	-0.0574519866367579	0	0.213966610006709	18	18	18	-1
19	18.5	19.5	-0.0499462342910367	0	0.224942008859488	19	19	19	-1
20	19.5	20.5	0.0175891700001196	0	0.234223596712701	20	20	20	-1
21	20.5	21.5	0.0525334288622534	0	0.220641682739841	21	21	21	-1
22	21.5	22.5	0.0392332191491798	0	0.096634137672698	22	22	22	-1
23	22.5	23.5	0.0282863687302089	0	0.165758841048172	23	23	23	-1
24	23.5	24.5	-0.0631632396808717	0	0.197139910072074	24	24	24	-1
25	24.5	25.5	0.0242054938741934	0	0.0979003119005154	25	25	25	-1
26	25.5	26.5	0.0435309595409164	0	0.229211002988158	26	26	26	-1
27	26.5	27.5	-0.0308881264783965	0	0.194594571923168	27	27	27	-1
28	27.5	28.5	0.0251449948700686	0	0.238229152997208	28	28	28	-1
29	28.5	29.5	0.0699295666978005	0	0.23331676995851	29	29	29	-1
30	29.5	30.5	0.0548777674299443	0	0.0312815868402124	30	30	30	-1
31	30.5	31.5	-0.0236727135397408	0	0.155863629809038	31	31	31	-1
32	31.5	32.5	0.0560029881720432	0	0.242300496038667	32	32	32	-1
33	32.5	33.5	-0.000353226296392104	0	0.145706032425942	33	33	33	-1
34	33.5	34.5	0.0125337209625939	0	0.248622692773001	34	34	34	-1
35	34.5	35.5	0.0647405520106204	0	0.241963043695701	35	35	35	-1
36	35.5	36.5	0.0569698072999279	0	0.050596648707393	36	36	36	-1
37	36.5	37.5	-0.0346938002178365	0	0.122661775377524	37	37	37	-1
38	37.5	38.5	-0.069472866347314	0	0.215916637870629	38	38	38	-1
39	38.5	39.5	-0.00487483202470497	0	0.0194106132521162	39	39	39	-1
40	39.5	40.5	-0.00320899345653836	0	0.139610393771755	40	40	40	-1
41	40.5	41.5	-0.0762378169676416	0	0.131286678407835	41	41	41	-1
42	41.5	42.5	-0.00928368777693171	0	0.248388537423046	42	42	42	-1
43	42.5	43.5	0.000988978571797026	0	0.172859716245094	43	43	43	-1
